rank,worth,name,source,industries,citizenship,gender,lastname,pworth
1,194752.748,Bernard Arnault & family,LVMH,Fashion & Retail,France,M,Arnault,194752.7476
2,193371.207,Jeff Bezos,Amazon,Technology,United States,M,Bezos,193371.2075
3,153245.292,Elon Musk,"Tesla, SpaceX",Automotive,United States,M,Musk,153245.2917
6,108119.629,Warren Buffett,Berkshire Hathaway,Finance & Investments,United States,M,Buffett,108119.6293
11,86422.472,Amancio Ortega,Zara,Fashion & Retail,Spain,M,Ortega,86422.47164
12,85781.919,Mukesh Ambani,diversified,Diversified,India,M,Ambani,85781.91869
14,74878.888,Gautam Adani & family,"infrastructure, commodities",Diversified,India,M,Adani,74878.88817
15,73516.849,Carlos Slim Helu & family,telecom,Telecom,Mexico,M,Slim Helu,73516.84881
16,72104.906,Zhong Shanshan,"beverages, pharmaceuticals",Food & Beverage,China,M,Zhong,72104.90582
17,66337.462,Alice Walton,Walmart,Fashion & Retail,United States,F,Walton,66337.462
